citation,author,book
" Le courage, c'est de chercher la vérité et de la dire ; c'est de ne pas subir la loi du mensonge triomphant qui passe, et de ne pas faire écho, de notre âme, de notre bouche et de nos mains aux applaudissements imbéciles et aux huées fanatiques. ",Jean Jaurès,
" Créer, c'est vivre deux fois. ",Albert Camus,"    Essais, éd. Gallimard                                "
 Créer est aussi difficile que d'être libre. ,Elsa Triolet,    La mise en mots                                
 Un écrivain raté peut faire un excellent critique puisqu'avec du mauvais vin on fait d'excellents vinaigres. ,Alphonse Allais,
 Le bon critique est celui qui raconte les aventures de son âme au milieu des chefs-d'œuvre. ,Anatole France,
" Où l'homme cesse de connaître, il commence à croire. ",Friedrich Nietzsche,"    La Naissance de la philosophie à l'époque de la tragédie grecque, éd. Gallimard                                "
" Il y a assez de lumière pour ceux qui ne désirent que de voir, et assez d'obscurité pour ceux qui ont une disposition contraire. ",Blaise Pascal,    Pensées                                
" Les gens cultivés ont toujours une culture de retard, ils possèdent les idées des générations précédentes, ils ont des goûts de vieux. ",Éric-Emmanuel Schmitt,    Frédérick ou le Boulevard du Crime                                
" Je trouve que la télévision est très favorable à la culture. Chaque fois que quelqu'un l'allume chez moi, je vais dans la pièce à côté et je lis. ",Groucho Marx,
" Ce n'est pas par des paroles que s'engagent les décisions, mais seulement par le travail. ",Martin Heidegger,"    Qu’est-ce qu’une chose, Ed. Gallimard                                "
" Si nous n'avions point de défauts, nous ne prendrions pas tant de plaisir à en remarquer chez les autres. ",La Rochefoucauld,    Maximes                                
" La démocratie, c'est aussi le droit institutionnel de dire des bêtises. ",François Mitterrand,
" Il devrait y avoir en toute constitution un centre de résistance contre le pouvoir prédominant, et par conséquent dans une constitution démocratique un moyen de résistance contre la démocratie. ",John Stuart Mill,    Considérations sur le gouvernement représentatif                                
 La démocratie est un luxe de peuple avancé. ,Bernard Werber,"    L'Arbre des possibles, éd. Le Livre de Poche                                "
" En réalisant ses désirs, autrement dit en se réalisant soi-même, l'homme réalise l'absolu. ",Henry de Montherlant,
 La vie est l'expression d'un constant désir : personne n'est jamais satisfait. ,Charlie Chaplin,
 Les jeunes gens transforment leurs désirs en fantasmes parce qu'ils n'ont pas de revanche à prendre. ,Régis Debray,    La Neige brûle                                
 Seuls le désir et l'oisiveté nous rendent tristes. ,Anatole France,    Le Lys rouge                                
 Les destins conduisent celui qui accepte et traîne celui qui refuse. ,Sénèque,
" Le destin est un précepteur estimable, mais il coûte cher. ",Johann Wolfgang von Goethe,
" Dans toutes les existences, on note une date où bifurque la destinée, soit vers une catastrophe, soit vers le succès. ",La Rochefoucauld,    Maximes                                
" Dieu a tout créé. Dieu a créé le racisme. Mais Dieu a aussi créé l'antiracisme. Avec tout le respect que je lui dois, Dieu est un sacré fouteur de merde. ",Philippe Geluck,
" Je trouve que si Dieu n'existe pas, la vie est une farce tellement tragique qu'il faut espérer à tout prix qu'Il existe. ",Jean d'Ormesson,
" Douter de dieu, c'est y croire. ",Blaise Pascal,    Pensées                                
 Il me semble parfois qu'en créant l'homme Dieu ait surestimé ses possibilités. ,Oscar Wilde,
 Dieu est une maladie dont on se croit guéri parce que plus personne n'en meurt. ,Emil Cioran,"    Cahiers, 1957-1972                                "
" Pour être irremplaçable, il faut être différent. ",Coco Chanel,
" Si je diffère de toi, loin de te léser, je t'augmente. ",Antoine de Saint-Exupéry,
" Quand tout semble aller contre toi, souviens toi que l'avion décolle contre le vent, pas avec. ",Henry Ford,
 L'attention de celui qui écoute sert d'accompagnement à la musique du discours. ,Joseph Joubert,    Pensées                                
" Si vous ne sentez pas que la chose donnée par vous vous manque, vous n'avez rien donné. On ne donne que ce dont on se prive. ",Victor Hugo,    Tas de pierres                                
 Il est plus doux de donner que de recevoir. ,Épicure,
" Tout ce que j'ai reçu jusqu'à présent pour le plus vrai et assuré, je l'ai appris des sens, ou par les sens : or, j'ai quelques fois éprouvé que ces sens étaient trompeurs, et il est de la prudence de ne se fier jamais entièrement à ceux qui nous ont une fois trompés. ",René Descartes,"    Méditations Métaphysiques, éd. Garnier Flammarion Poche                                "
 Le doute est l'école de la vérité. ,Francis Bacon,
" Sans échec, pas de morale. ",Simone de Beauvoir,"    Pour une morale de l’ambiguïté, éd. Gallimard                                "
" Ce n'est pas la peur d'entreprendre, c'est la peur de réussir, qui explique plus d'un échec. ",Emil Cioran,"    De l'inconvénient d'être né, Folio essais                                "
" Tends l'oreille et écoute, tu entendras ta propre voix dans toutes les voix. ",Khalil Gibran,
" Il y a trois règles à respecter pour écrire un roman. Malheureusement, personne ne les connaît. ",Somerset Maugham,
" En partageant la joie, vous la multipliez. Et écrire, c'est partager pour multiplier. ",Christian Bobin,    Fil Twitter de Christian Bobin                                
 Une phrase n'est bien construite que si elle est écrite de telle manière que personne ne remarque qu'elle a été construite. ,James Baldwin,
